Journal,selfcites,NonLocalCount,Totalcites,NLIQ,OCQ,HINDEX,IC,
Journal of Plant Biochemistry and Biotechnology.json,67,11,245,0.955102041,0.726530612,20,11.216667,agronomy and crop
Indian Journal of Agricultural Sciences.json,8,1,19,0.947368421,0.578947368,18,6.21,agronomy and crop
Indian Journal of Agronomy.json,9,4,42,0.904761905,0.785714286,16,3.06,agronomy and crop
Research Journal of Chemistry and Environment.json,20,5,84,0.940476191,0.761904762,10,8.03333,environmental
Journal of Biopesticides.json,7,5,106,0.952830189,0.933962264,9,7.416667,agronomy and crop
Range Management and Agroforestry.json,0,1,4,0.75,1,2,0.793333,agronomy and crop
Colourage.json,2,2,5,0.6,0.6,20,0.67,environmental
International Journal of Agricultural and Statistical Sciences.json,15,3,25,0.88,0.4,3,3.843333,agricultral and biological
Disaster Advances.json,28,7,115,0.939130435,0.756521739,11,7.74,earth and planetry
Nature Environment and Pollution Technology.json,8,3,18,0.833333333,0.555555556,5,12.03,environmental
Journal of Agrometeorology.json,5,1,7,0.857142857,0.285714286,5,2.82,agronomy and crop
Journal of Tropical Agriculture.json,16,1,19,0.947368421,0.157894737,9,4.4,agronomy and crop
Legume Research.json,11,2,14,0.857142857,0.214285714,6,4.723333,agronomy and crop
Annals of Biology.json,5,3,10,0.7,0.5,4,0,agricultral and biological
Journal of the Indian Society of Remote Sensing.json,49,11,217,0.949308756,0.774193548,21,12.836667,earth and planetry
Annals of Agri Bio Research.json,9,3,12,0.75,0.25,3,0,agricultral and biological
Sugar Technology.json,16,5,82,0.93902439,0.804878049,15,10.37,agronomy and crop
Allelopathy Journal.json,24,6,87,0.931034483,0.724137931,22,11.88667,agronomy and crop
Research on Crops.json,0,2,10,0.8,1,4,9.83333,agronomy and crop
Indian Journal of Agricultural Research.json,6,4,25,0.84,0.76,3,6.173333,agronomy and crop
